ID,LABEL,RTN5,FIVE_DAY_GL,CLOSE,RSI2,RSI_CLOSE_3,PERCENT_RANK_100,RSI_STREAK_2,CRSI
2015-05-26:SPY,DN,-1.12623,0.313242,210.7,7.15442,16.8809,9,25.0799,16.9869
2015-05-22:SPY,DN,0.258897,-0.666698,212.99,41.3797,55.3831,38,36.1751,43.1861
2015-05-21:SPY,UP,0.607888,-1.10539,213.5,88.5494,83.741,65,64.8761,71.2057
2015-05-20:SPY,DN,1.36178,-0.197294,212.88,62.7146,72.2078,45,13.2653,43.491
2015-05-19:SPY,DN,1.45252,-0.154908,213.03,86.2565,81.5363,46,17.5676,48.368
2015-05-18:SPY,UP,1.18228,-1.12623,213.1,94.5368,84.9507,65,92.8585,80.9364
2015-05-15:SPY,UP,0.387487,0.258897,212.44,90.0206,79.5743,52,87.5023,73.0255
2015-05-14:SPY,UP,1.59908,0.607888,212.21,88.3412,77.7255,86,80.0032,81.2429
2015-05-13:SPY,UP,0.95174,1.36178,210.02,41.3624,47.6456,51,71.4326,56.6927
2015-05-12:SPY,DN,0.516994,1.45252,209.98,39.1222,46.7703,33,20.0007,33.257
2015-05-11:SPY,DN,-0.335983,1.18228,210.61,55.9578,56.7287,22,28.5749,35.7679
2015-05-08:SPY,UP,0.427107,0.387487,211.62,85.4249,73.4414,93,80.052,82.1644
2015-05-07:SPY,UP,0.19668,1.59908,208.87,48.5159,42.9134,69,71.4928,61.1354
2015-05-06:SPY,DN,-1.2015,0.95174,208.04,16.6715,25.7376,29,20.0114,24.9163
2015-05-05:SPY,DN,-1.20129,0.516994,208.9,24.5329,32.49,10,28.628,23.706
2015-05-04:SPY,UP,0.260948,-0.335983,211.32,72.8955,63.9787,64,80.8416,69.6068
2015-05-01:SPY,UP,-0.439405,0.427107,210.72,64.1294,57.1076,87,72.4745,72.194
2015-04-30:SPY,DN,-1.27865,0.19668,208.46,8.235,17.6726,10,20.1918,15.9548
2015-04-29:SPY,DN,-0.028486,-1.2015,210.57,30.2093,41.3151,29,29.5448,33.2866
2015-04-28:SPY,UP,0.877863,-1.20129,211.44,67.1497,65.3446,65,55.0398,61.7948
2015-04-27:SPY,DN,0.438408,0.260948,210.77,37.9182,50.5906,28,20.9195,33.17
2015-04-24:SPY,UP,1.77927,-0.439405,211.65,91.2314,80.659,61,86.7664,76.1418
2015-04-23:SPY,UP,0.375529,-1.27865,211.16,85.5911,75.1838,63,78.182,72.1219
2015-04-22:SPY,UP,0.0950435,-0.028486,210.63,77.9048,68.8188,75,67.7086,70.5091
2015-04-21:SPY,DN,0.0525085,0.877863,209.6,54.1261,53.3003,42,37.8967,44.399
2015-04-20:SPY,UP,0.36348,0.438408,209.85,62.2573,57.9687,83,70.3884,70.4524
2015-04-17:SPY,DN,-0.995049,1.77927,207.95,12.0507,24.4359,9,17.0473,16.8278
2015-04-16:SPY,DN,0.703686,0.375529,210.37,78.8391,75.7546,48,24.3612,49.3719
2015-04-15:SPY,UP,1.178,0.0950435,210.43,84.6554,78.4788,74,68.3441,73.6076
2015-04-14:SPY,UP,1.06619,0.0525085,209.49,63.6467,65.5333,59,54.7185,59.7506
2015-04-13:SPY,DN,0.606265,0.36348,209.09,48.704,58.4415,25,20.4992,34.6469
2015-04-10:SPY,UP,1.74385,-0.995049,210.04,95.1458,86.6803,78,83.9108,82.8637
2015-04-09:SPY,UP,1.55566,0.703686,208.9,88.6548,78.287,74,73.7674,75.3515
2015-04-08:SPY,UP,0.75086,1.178,207.98,75.3604,67.15,69,61.6918,65.9473
2015-04-07:SPY,DN,-0.465786,1.06619,207.28,55.5403,55.5975,34,29.0158,39.5378
2015-04-06:SPY,UP,1.01585,0.606265,207.83,81.201,68.1517,83,80.5396,77.2304
2015-04-02:SPY,UP,0.569981,1.74385,206.44,54.829,48.5947,71,72.3593,63.9847
2015-04-01:SPY,DN,-0.0291602,1.55566,205.7,27.9088,34.2692,29,25.1862,29.4851
2015-03-31:SPY,DN,-1.14453,0.75086,206.43,39.5283,41.9592,12,35.1979,29.7191
2015-03-30:SPY,UP,-0.833333,-0.465786,208.25,82.1787,66.9184,89,87.1809,81.0331
2015-03-27:SPY,UP,-2.21948,1.01585,205.74,30.3788,26.9872,64,82.9953,57.9941
2015-03-26:SPY,DN,-2.01909,0.569981,205.27,4.34879,14.0337,33,7.43582,18.1565
2015-03-25:SPY,DN,-2.2332,-0.0291602,205.76,5.40152,16.0075,4,13.3821,11.1299
2015-03-24:SPY,DN,0.413541,-1.14453,208.82,22.1251,38.6258,19,22.2974,26.6411
2015-03-23:SPY,DN,0.680794,-0.833333,210,54.8952,60.6609,33,33.4348,42.3652
2015-03-20:SPY,UP,2.22514,-2.21948,210.41,73.9145,69.8973,72,66.8017,69.5663
2015-03-19:SPY,DN,1.15886,-2.01909,209.5,57.6195,61.1427,21,33.7378,38.6268
2015-03-18:SPY,UP,2.91443,-2.2332,210.46,85.9349,76.8642,89,67.2033,77.6892
2015-03-17:SPY,DN,1.4538,0.413541,207.96,60.9443,58.2083,28,34.9317,40.38
2015-03-16:SPY,UP,0.105586,0.680794,208.58,78.1659,67.1623,93,68.7626,76.3083
2015-03-13:SPY,DN,-0.804819,2.22514,205.83,41.5122,39.7622,18,39.4339,32.3987
2015-03-12:SPY,UP,-1.5965,1.15886,207.1,67.79,53.5084,92,74.3263,73.2782
2015-03-11:SPY,DN,-2.72559,2.91443,204.5,8.50348,11.975,29,23.6755,21.5502
2015-03-10:SPY,DN,-2.9083,1.4538,204.98,10.244,13.4543,1,35.2739,16.5761
2015-03-09:SPY,UP,-1.71234,0.105586,208.36,36.6695,32.0281,70,69.15,57.0594
2015-03-06:SPY,DN,-1.50005,-0.804819,207.5,5.73344,11.2443,4,40.6518,18.6321
2015-03-05:SPY,UP,-0.435235,-1.5965,210.46,35.9805,37.6839,53,75.5447,55.4095
2015-03-04:SPY,DN,-0.661532,-2.72559,210.23,19.4762,29.0406,24,31.3534,28.1314
2015-03-03:SPY,DN,-0.325764,-2.9083,211.12,38.8584,45.2208,24,44.8656,38.0288
2015-03-02:SPY,UP,0.369301,-1.71234,211.99,75.6598,71.0005,76,78.8446,75.2817
2015-02-27:SPY,DN,-0.274569,-1.50005,210.66,11.8412,30.788,27,12.8144,23.5341
2015-02-26:SPY,DN,0.66673,-0.435235,211.38,40.7893,61.6315,34,21.0124,38.8813
2015-02-25:SPY,DN,0.713844,-0.661532,211.63,70.8672,80.2388,38,30.8948,49.7112
2015-02-24:SPY,UP,0.8091,-0.325764,211.81,96.4787,93.8374,64,58.3267,72.0547
2015-02-23:SPY,DN,0.681667,0.369301,211.21,91.145,90.1143,44,25.054,53.0561
2015-02-20:SPY,UP,1.11047,-0.274569,211.24,94.7323,91.9664,75,41.7017,69.556
2015-02-19:SPY,DN,1.47393,0.66673,209.98,69.6373,81.0767,42,12.6961,45.2576
2015-02-18:SPY,UP,1.60534,0.713844,210.13,97.2,90.8504,45,98.184,78.0115
2015-02-17:SPY,UP,2.678,0.8091,210.11,97.1241,90.7513,57,96.5012,81.4175
2015-02-13:SPY,UP,2.05789,0.681667,209.78,96.2959,89.5003,68,93.4807,83.6603
2015-02-12:SPY,UP,1.35843,1.11047,208.92,94.0711,86.2749,81,88.5296,85.2682
2015-02-11:SPY,UP,1.40645,1.47393,206.93,80.5656,73.9123,52,81.5073,69.1399
2015-02-10:SPY,UP,0.961726,1.60534,206.81,79.1324,72.9321,84,73.3496,76.7606
2015-02-09:SPY,DN,1.34212,2.678,204.63,36.7915,50.3321,29,21.2223,33.5182
2015-02-06:SPY,DN,3.05841,2.05789,205.55,64.3369,65.7856,32,31.4869,43.0908
2015-02-05:SPY,UP,2.04466,1.35843,206.12,83.7645,75.3399,84,60.9817,73.4405
2015-02-04:SPY,DN,1.95863,1.40645,204.06,64.2657,62.066,30,26.6066,39.5575
2015-02-03:SPY,UP,1.03581,0.961726,204.84,83.1781,71.8253,93,78.4274,81.0842
2015-02-02:SPY,UP,-1.71818,1.34212,201.92,62.5481,53.6271,91,68.059,70.8954
2015-01-30:SPY,DN,-2.69308,3.05841,199.45,22.1876,27.059,10,38.5008,25.1866
2015-01-29:SPY,UP,-1.99418,2.04466,201.99,49.7593,44.5617,85,71.6559,67.0725
2015-01-28:SPY,DN,-1.44771,1.95863,200.14,8.22887,19.1769,9,19.9625,16.0465
2015-01-27:SPY,DN,0.336534,1.03581,202.74,19.6334,33.5857,8,28.6803,23.422
2015-01-26:SPY,UP,1.89456,-1.71818,205.45,70.6942,70.2782,64,50.9154,61.7312
2015-01-23:SPY,DN,2.98965,-2.69308,204.97,61.9247,65.8761,26,19.8439,37.24
2015-01-22:SPY,UP,2.60878,-1.99418,206.1,95.5973,85.8267,94,95.0715,91.6327
2015-01-21:SPY,UP,0.494854,-1.44771,203.08,83.895,69.2158,75,92.0624,78.7594
2015-01-20:SPY,UP,-0.291142,0.336534,202.06,70.7782,58.1799,65,88.5744,70.5848
2015-01-16:SPY,UP,-1.28274,1.89456,201.63,64.7219,53.4943,94,85.3572,77.6172
2015-01-15:SPY,DN,-3.34143,2.98965,199.02,4.91371,14.922,11,5.69006,10.5374
2015-01-14:SPY,DN,-0.716722,2.60878,200.86,12.2107,24.4548,21,10.4097,18.6215
2015-01-13:SPY,DN,1.13102,0.494854,202.08,24.0519,34.0779,26,17.7862,25.9547
2015-01-12:SPY,DN,0.461035,-0.291142,202.65,31.0964,38.8382,13,27.5459,26.4614
2015-01-09:SPY,DN,-0.574405,-1.28274,204.25,52.8016,52.5839,12,37.961,34.1816
2015-01-08:SPY,UP,0.175148,-3.34143,205.9,82.4902,69.4931,96,87.6991,84.3974
2015-01-07:SPY,UP,-2.54817,-0.716722,202.31,54.9091,42.8246,95,84.2624,74.029
2015-01-06:SPY,DN,-4.26409,1.13102,199.82,0.621905,4.03309,10,2.76316,5.59875
2015-01-05:SPY,DN,-3.22395,0.461035,201.72,1.15027,6.15867,1,4.86088,4.00651
2015-01-02:SPY,DN,-1.12625,-0.574405,205.43,6.74496,19.6179,42,7.83491,23.1509
2014-12-31:SPY,DN,-1.06378,0.175148,205.54,7.2691,20.5036,8,11.2881,13.2639
2014-12-30:SPY,DN,0.0626597,-2.54817,207.6,26.6886,46.9907,19,14.4789,26.8232
2014-12-29:SPY,UP,1.06527,-4.26409,208.72,97.4882,88.3673,54,95.2533,79.2069
2014-12-26:SPY,UP,0.802786,-3.22395,208.44,96.242,86.3665,67,91.1294,81.4986
2014-12-24:SPY,UP,2.96348,-1.12625,207.77,90.7539,81.2114,45,84.3165,70.176
2014-12-23:SPY,UP,4.97196,-1.06378,207.75,90.5479,81.0689,56,74.539,70.536
2014-12-22:SPY,UP,3.98977,0.0626597,207.47,88.8011,79.6273,71,63.0082,71.2118
2014-12-19:SPY,DN,2.80253,1.06527,206.52,83.6868,75.3878,34,32.388,47.2586
2014-12-18:SPY,UP,1.26843,0.802786,206.78,89.2652,78.3631,99,85.4152,87.5928
2014-12-17:SPY,UP,-0.674345,2.96348,201.79,70.2093,56.2918,98,79.9418,78.0779
2014-12-16:SPY,DN,-4.14588,4.97196,197.91,3.85676,7.24472,10,19.5886,12.2778
2014-12-15:SPY,DN,-3.43643,3.98977,199.51,7.13204,10.4767,13,31.3977,18.2915
2014-12-12:SPY,DN,-3.41827,2.80253,200.89,11.2534,14.0914,3,44.9454,20.679
2014-12-11:SPY,UP,-1.671,1.26843,204.19,36.4092,31.317,75,79.0583,61.7917
2014-12-10:SPY,DN,-2.27524,-0.674345,203.16,2.33948,7.88714,4,13.1109,8.33267
2014-12-09:SPY,DN,-0.299387,-4.14588,206.47,16.8146,29.3022,39,21.6221,29.9748
2014-12-08:SPY,DN,0.413103,-3.43643,206.61,19.3461,31.7316,12,32.0131,25.2483
2014-12-05:SPY,UP,0.3861,-3.41827,208,76.5791,70.3235,59,61.632,63.6518
2014-12-04:SPY,DN,0.00963206,-1.671,207.66,63.3008,62.9819,34,28.6038,41.8619
2014-12-03:SPY,UP,0.376611,-2.27524,207.89,78.3194,70.8911,70,80.7149,73.8687
2014-12-02:SPY,UP,-0.0820226,-0.299387,207.09,63.0891,58.9324,82,72.3059,71.0795
2014-12-01:SPY,DN,-0.445133,0.413103,205.76,11.2845,24.6011,11,19.9477,18.5163
2014-11-28:SPY,DN,0.788014,0.3861,207.2,46.978,62.0313,24,29.1249,38.3854
2014-11-26:SPY,UP,1.17922,0.00963206,207.64,90.91,89.8916,61,53.9416,68.2777
2014-11-25:SPY,DN,0.758939,0.376611,207.11,79.1885,84.1891,38,19.7536,47.3142
2014-11-24:SPY,UP,1.4141,-0.0820226,207.26,96.8637,94.2176,63,76.6461,77.9546
2014-11-21:SPY,UP,1.19467,-0.445133,206.68,94.4829,91.6553,79,63.5087,78.0547
2014-11-20:SPY,UP,0.680739,0.788014,205.58,80.3075,81.0226,61,49.2283,63.7503
2014-11-19:SPY,DN,0.617768,1.17922,205.22,66.0213,73.7154,29,16.5845,39.7666
2014-11-18:SPY,UP,0.670977,0.758939,205.55,98.9087,96.3985,79,84.4806,86.6264
2014-11-17:SPY,UP,0.191195,1.4141,204.37,90.0247,86.4841,51,73.723,70.4024
2014-11-14:SPY,UP,0.442608,1.19467,204.24,81.9144,83.0588,48,59.7849,63.6146
2014-11-13:SPY,UP,0.511937,0.680739,204.19,78.5626,81.8814,55,45.2698,60.717
2014-11-12:SPY,DN,0.800633,0.617768,203.96,62.6356,76.9739,36,14.3583,42.4441
2014-11-11:SPY,UP,1.54673,0.670977,204.18,97.1586,93.0444,54,93.9649,80.3364
2014-11-10:SPY,UP,1.09531,0.191195,203.98,96.2088,92.0368,66,88.7818,82.2729
2014-11-07:SPY,UP,0.833085,0.442608,203.34,91.8495,88.4752,54,80.3392,74.2715
2014-11-06:SPY,UP,1.89086,0.511937,203.15,90.172,87.3559,68,68.4779,74.6113
2014-11-05:SPY,UP,2.13518,0.800633,202.34,82.4908,82.5353,79,54.862,72.1325
2014-11-04:SPY,DN,1.34066,1.54673,201.07,54.7903,70.9644,23,20.5393,38.1679
2014-11-03:SPY,UP,2.85991,1.09531,201.77,97.1459,93.8001,51,85.7218,76.8406
2014-10-31:SPY,UP,2.66253,0.833085,201.66,96.9614,93.5838,93,76.3334,87.6391
2014-10-30:SPY,UP,2.28287,1.89086,199.38,90.7867,87.6116,81,64.7415,77.7844
2014-10-29:SPY,DN,2.81281,2.13518,198.11,78.7737,81.0676,33,30.8932,48.3203
2014-10-28:SPY,UP,2.23631,1.34066,198.41,93.1131,88.4232,94,59.4103,80.6112
2014-10-27:SPY,DN,3.07935,2.85991,196.16,78.3004,78.8099,35,24.6186,46.1428
2014-10-24:SPY,UP,4.22348,2.66253,196.43,89.9024,84.4179,88,68.9342,80.4507
2014-10-23:SPY,UP,4.64917,2.28287,194.93,82.8392,78.8416,96,55.6195,76.8203
2014-10-22:SPY,DN,3.35783,2.81281,192.69,64.0768,67.1309,10,22.3302,33.1537
2014-10-21:SPY,UP,3.39371,2.23631,194.07,96.6151,86.8806,99,89.3517,91.7441
2014-10-20:SPY,UP,1.54207,3.07935,190.3,88.9517,71.7371,94,82.958,82.8984
2014-10-17:SPY,UP,-1.08639,4.22348,188.47,75.4761,54.8851,98,75.6466,76.1772
2014-10-16:SPY,DN,-3.35685,4.64917,186.27,8.0954,13.5936,35,31.681,26.7582
2014-10-15:SPY,DN,-5.19223,3.35783,186.43,8.994,14.2249,11,45.316,23.5136
2014-10-14:SPY,UP,-2.87695,3.39371,187.7,16.0761,18.8591,60,79.5552,52.8048
2014-10-13:SPY,DN,-4.52392,1.54207,187.41,7.78577,14.625,2,16.3581,10.9944
2014-10-10:SPY,DN,-3.04295,-1.08639,190.54,16.6751,23.4175,5,26.6587,18.3587
2014-10-09:SPY,DN,-0.843708,-3.35685,192.74,27.8501,32.6018,0,38.9093,23.837
2014-10-08:SPY,UP,1.17829,-5.19223,196.64,68.5961,60.768,99,71.9918,77.2533
2014-10-07:SPY,DN,-1.90844,-2.87695,193.26,14.1996,21.6659,2,22.6964,15.4541
2014-10-06:SPY,DN,-0.632783,-4.52392,196.29,63.5035,53.5828,31,32.1178,38.9002
2014-10-03:SPY,UP,-0.697322,-3.04295,196.52,73.1425,57.8991,98,85.1164,80.3385
2014-10-02:SPY,UP,-0.998268,-0.843708,194.38,8.60575,15.8548,46,79.4703,47.1084
2014-10-01:SPY,DN,-2.61074,1.17829,194.35,7.04003,15.0621,2,14.9183,10.6601
2014-09-30:SPY,DN,-0.499975,-1.90844,197.02,29.6239,34.1534,23,24.5788,27.2441
2014-09-29:SPY,DN,-0.808436,-0.632783,197.54,43.0819,40.8813,26,36.3472,34.4095
2014-09-26:SPY,UP,-1.39512,-0.697322,197.9,51.121,44.9699,94,69.7379,69.5693
2014-09-25:SPY,DN,-2.71529,-0.998268,196.34,17.9469,22.6104,1,44.0286,22.5463
2014-09-24:SPY,UP,-0.592777,-2.61074,199.56,59.9133,51.2841,94,76.542,73.942
2014-09-23:SPY,DN,-1.23204,-0.499975,198.01,8.30911,17.8527,12,10.3074,13.3867
2014-09-22:SPY,DN,0.0854357,-0.808436,199.15,15.7788,26.9063,5,15.9297,15.9453
2014-09-19:SPY,DN,0.78843,-1.39512,200.7,40.5771,49.7964,11,21.9033,27.5666
2014-09-18:SPY,UP,0.758862,-2.71529,201.82,93.8884,84.3744,86,87.6153,85.9965
2014-09-17:SPY,UP,0.339881,-0.592777,200.75,83.5892,71.9841,53,80.1841,68.3894
2014-09-16:SPY,UP,0.581979,-1.23204,200.48,79.1578,67.6717,94,71.6909,77.7876
2014-09-15:SPY,DN,-0.802632,0.0854357,198.98,16.604,24.8018,29,20.7251,24.8423
2014-09-12:SPY,DN,-0.984536,0.78843,199.13,19.5356,27.2071,11,29.6096,22.6056
2014-09-11:SPY,UP,0.0449528,0.758862,200.3,62.732,54.8851,52,82.947,63.2774
2014-09-10:SPY,UP,-0.214464,0.339881,200.07,52.3831,47.945,73,75.6307,65.5252
2014-09-09:SPY,DN,-0.643039,0.581979,199.32,12.988,21.7904,8,31.6337,20.4747
2014-09-08:SPY,DN,-0.0597878,-0.802632,200.59,43.362,50.3477,19,45.2495,38.1991
2014-09-05:SPY,UP,0.484661,-0.984536,201.11,83.1923,78.3908,75,79.4436,77.6115
2014-09-04:SPY,DN,-0.019975,0.0449528,200.21,18.051,39.5244,23,15.863,26.1291
2014-09-03:SPY,DN,0.08486,-0.214464,200.5,48.0613,64.4103,30,25.8618,40.0907
2014-09-02:SPY,DN,0.204795,-0.643039,200.61,70.194,76.6077,33,37.7633,49.1237
2014-08-29:SPY,UP,0.763091,-0.0597878,200.71,88.7771,86.5398,61,69.9574,72.4991
2014-08-28:SPY,DN,0.320802,0.484661,200.14,54.2848,73.4688,30,16.689,40.0526
2014-08-27:SPY,DN,0.66861,-0.019975,200.25,77.1698,83.9581,33,23.6896,46.8826
2014-08-26:SPY,UP,0.977872,0.08486,200.33,91.1418,90.2022,42,63.8909,65.3644
2014-08-25:SPY,UP,1.43899,0.204795,200.2,89.6139,89.3436,81,49.6504,73.3313
2014-08-22:SPY,DN,1.77294,0.763091,199.19,68.5251,80.4873,26,16.8633,41.1169
2014-08-21:SPY,UP,1.9105,0.320802,199.5,99.5439,96.9793,61,90.6563,82.8785
2014-08-20:SPY,UP,2.09403,0.66861,198.92,99.2089,95.9422,58,83.3862,79.1094
2014-08-19:SPY,UP,2.51124,0.977872,198.39,98.8093,94.869,81,72.8071,82.892
2014-08-18:SPY,UP,1.83695,1.43899,197.36,97.6618,92.1947,93,60.1053,81.7667
2014-08-15:SPY,DN,1.28338,1.77294,195.72,89.9516,82.5277,37,25.1369,48.2215
